customerid,name,country,state,gender,dob,interests,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,complaint_date,escalations,csat_score,comment,customer_age,customer_tenure_days,churn_status,csat_category
0002-ORFBO,keshav,India,Maharashtra,Male,1982-04-12,travel,2021-03-15,Refferal,2025-03-15,Standard,Annual,,Not Cancelled,13.99,627,12,,N,30.0,No Comment,44,1948,Active,Low
0003-MKNFE,raghav,India,Karnataka,Male,1995-11-23,Unknown,2020-08-01,Paid,2024-08-01,Premium,Annual,2024-09-10,Switched to competitor,12.99,1150,91,2024-08-28,N,60.0,service issue,30,2174,Churned,Medium
0003-MKNFE,raghav,India,Karnataka,Male,1995-11-23,Unknown,2020-08-01,Paid,2024-08-01,Premium,Annual,2024-09-10,Switched to competitor,12.99,1150,91,2024-08-28,Y,10.0,demaned refund,30,2174,Churned,Low
0004-TLHLJ,lalita,India,Delhi,Female,1978-02-15,movie,2022-11-20,Organic,2025-11-20,Basic,Monthly,,Not Cancelled,6.99,210,34,,N,30.0,No Comment,48,1333,Active,Low
0011-IGKFF,mohan,India,Nagaland,Male,2001-08-30,Unknown,2019-05-10,Paid,2025-05-10,Premium,Annual,,Not Cancelled,22.99,1725,8,,N,30.0,No Comment,24,2623,Active,Low
0013-EXCHZ,mira,India,Delhi,Female,1990-05-05,drama,2023-01-05,Refferal,2024-01-05,Standard,Monthly,2024-02-28,Too expensive,13.99,195,88,2024-01-20,Y,20.0,No Comment,36,1287,Churned,Low
0013-MHZWF,durga,Unknown,Delhi,Female,1988-12-10,Unknown,2022-06-18,Paid,2025-06-18,Standard,Annual,,Not Cancelled,17.99,720,22,2025-03-18,N,90.0,guidance to renew,37,1488,Active,High
0013-SMEOE,mina,India,Meghalaya,Female,1976-09-21,Unknown,2021-09-30,Refferal,2024-09-30,Basic,Monthly,2024-11-15,Not enough content,8.99,230,79,2024-11-01,N,30.0,No Comment,49,1749,Churned,Low
0014-BMAQU,madan,India,Rajasthan,Male,1999-03-14,Unknown,2020-02-14,Organic,2025-02-14,Premium,Annual,,Not Cancelled,22.99,1840,5,,N,30.0,No Comment,27,2343,Active,Low
0015-UOCOJ,maya,Unknown,Kathmandu,Female,1985-07-07,Unknown,2023-07-22,Organic,2024-07-22,Standard,Monthly,,Not Cancelled,13.99,240,34,,N,30.0,No Comment,41,1089,Active,Low
0016-QLJIS,arjun,Nepal,Kathmandu,Male,1993-10-29,Unknown,2022-04-03,Organic,2025-04-03,Basic,Annual,,Not Cancelled,6.99,335,41,,N,30.0,No Comment,32,1564,Active,Low
0017-DINOC,shiva,India,Maharashtra,Male,1997-01-22,Unknown,2021-12-01,Organic,2025-12-01,Premium,Annual,,Not Cancelled,22.99,1610,14,,N,30.0,No Comment,29,1687,Active,Low
0017-IUDMW,rangadevi,India,Karnataka,Female,1981-06-18,Unknown,2023-03-17,Refferal,2024-03-17,Standard,Monthly,2024-05-01,Poor streaming quality,7.99,270,83,2024-04-10,Y,25.0,No Comment,45,1216,Churned,Low
0018-NYROU,chitra,Unknown,Telangana,Female,2004-12-01,Unknown,2020-10-09,Organic,2025-10-09,Standard,Annual,,Not Cancelled,13.99,980,19,,N,30.0,No Comment,21,2105,Active,Low
0019-EFAEP,raju,India,Meghalaya,Female,1992-04-25,Unknown,2022-08-25,Refferal,2024-08-25,Basic,Monthly,2024-10-31,Switched to competitor,12.99,160,76,2024-09-27,Y,30.0,No Comment,34,1420,Churned,Low
0019-GFNTW,Madhav,India,Uttar Pradesh,Male,1979-11-11,Unknown,2019-11-11,Paid,2025-11-11,Premium,Annual,,Not Cancelled,92.99,2185,3,,N,30.0,No Comment,46,2438,Active,Low
0020-INWCK,parvati,India,Delhi,Female,1986-02-28,job,2023-05-06,Organic,2025-05-06,Standard,Monthly,,Not Cancelled,13.99,640,58,,N,30.0,No Comment,40,1166,Active,Low
0020-JDNXP,rikim,India,Meghalaya,Female,1994-08-19,Unknown,2022-01-19,Organic,2024-01-19,Premium,Annual,,Not Cancelled,20.99,550,62,,N,30.0,No Comment,31,1638,Active,Low
0021-IKXGC,vishakha,India,Rajasthan,Female,2000-09-02,Unknown,2021-07-07,Paid,2025-07-07,Standard,Annual,,Not Cancelled,13.99,840,27,,N,30.0,No Comment,25,1834,Active,Low
0022-TCJCI,raghvendra,India,Telangana,Male,1983-12-30,Unknown,2023-09-14,Refferal,2024-09-14,Basic,Monthly,2024-09-14,Forgot to cancel trial,16.99,42,99,2024-09-13,Y,10.0,No Comment,42,1035,Churned,Low
0022-TCJCI,raghvendra,India,Telangana,Male,1983-12-30,Unknown,2023-09-14,Refferal,2024-09-14,Basic,Monthly,2024-09-14,Forgot to cancel trial,16.99,42,99,2024-09-14,N,90.0,received refund,42,1035,Churned,High
0023-HGHWL,rishabh,India,Uttar Pradesh,Male,1991-05-14,Unknown,2020-06-23,Organic,2025-06-23,Premium,Annual,,Not Cancelled,22.99,1955,7,,N,30.0,No Comment,35,2213,Active,Low
0023-UYUPN,sudevi,India,Maharashtra,Female,1977-10-06,Unknown,2022-12-31,Paid,2025-12-31,Standard,Monthly,,Not Cancelled,13.99,790,47,,N,30.0,No Comment,48,1292,Active,Low
